시설년도,위치코드,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,시설면적,이용가능인원,비고,경도,위도,선풍기보유대수,에어컨보유대수,야간운영여부,휴일운영여부,숙박가능여부,관리부서명,관리부서전화번호
2025,1120054000,특정계층이용시설,회원이용시설,정화경로당,서울특별시 성동구 마장로33길 29-5,서울특별시 성동구 마장동 513-26,40,10,,127.038457,37.568471,1,1,N,N,N,,02-2286-5868
2025,1120054000,특정계층이용시설,회원이용시설,청계현대(아)경로당,서울특별시 성동구 마장로35길 76 (청계현대아파트 102동),서울특별시 성동구 마장동 818,218,40,,127.042603,37.569599,2,1,N,N,N,,02-2286-5868
2025,1120054000,특정계층이용시설,회원이용시설,청계미소지움(아)경로당,서울특별시 성동구 마장로39길 43 (청계미소지움 101동),서울특별시 성동구 마장동 822,58,17,,127.043728,37.568857,2,1,N,N,N,,02-2286-5868
2025,1120054000,특정계층이용시설,회원이용시설,왕십리금호어울림(아)경로당,서울특별시 성동구 마조로 55 (왕십리금호어울림아파트 6동),서울특별시 성동구 마장동 820,81,24,,127.040736,37.563062,3,1,N,N,N,,02-2286-5868
2025,1120054000,특정계층이용시설,회원이용시설,왕십리대성유니드(아)경로당,서울특별시 성동구 마장로37길 7 (대성유니드아파트 103동),서울특별시 성동구 마장동 825,72,21,,127.038691,37.566752,2,2,N,N,N,,02-2286-5868
2025,1120054000,특정계층이용시설,회원이용시설,일송경로당,서울특별시 성동구 마조로15가길 23 (마장 에스에이치빌 101동),서울특별시 성동구 마장동 831,67,20,,127.040124,37.564485,2,1,N,N,N,,02-2286-5868
2025,1120054000,특정계층이용시설,회원이용시설,왕십리중앙하이츠(아)경로당,서울특별시 성동구 마장로 262 (중앙하이츠아파트 102동),서울특별시 성동구 마장동 819,59,17,,127.039236,37.565466,2,1,N,N,N,,02-2286-5868
2025,1120054000,야외시설,공원,마장동자전거체험학습장인근샘물창고,서울특별시 성동구 살곶이길 40,서울특별시 성동구 마장동 803,3.3,8,,127.0442677,37.570059,0,0,,,,,02-2286-5580
2025,1120054000,공공시설,공공청사,마장동주민센터,서울특별시 성동구 마장로42길 11,서울특별시 성동구 마장동 780-2,866,12,,127.045289,37.5663242,5,2,N,Y,N,,02-2286-5868
2025,1120054000,공공시설,복지?문화?체육시설,성동종합사회복지관,서울특별시 성동구 청계천로 506,서울특별시 성동구 마장동 527-2,"5,468.00",15,,127.033643,37.5703644,6,6,N,N,N,,02-2286-5868
2025,1120054000,특정계층이용시설,회원이용시설,시립성동노인종합복지관,서울특별시 성동구 마조로 77,서울특별시 성동구 마장동 798-1,"2,675.00",70,,127.041319,37.564791,10,5,N,N,N,,02-2286-5868
2025,1120054000,특정계층이용시설,회원이용시설,왕좌경로당,서울특별시 성동구 청계천로10나길 40-5 ,서울특별시 성동구 마장동 463-16,42,12,,127.035228,37.5700126,2,1,N,N,N,,02-2286-5868
2025,1111051500,공공시설,복지?문화?체육시설,종로장애인복지관,서울특별시 종로구 자하문로 89,서울특별시 종로구 신교동 66,"3,754.00",100,,126.9697264,37.5842461,0,5,N,N,N,,02-2148-2202
2025,1111051500,공공시설,공공청사,청운효자동주민센터,서울특별시 종로구 자하문로 92,서울특별시 종로구 궁정동 12-1,200,50,폭염특보 시 추가운영,126.9706558,37.5840952,12,2,,Y,,,02-2148-2208
2025,1111051500,특정계층이용시설,회원이용시설,청운경로당,서울특별시 종로구 필운대로 86,서울특별시 종로구 신교동 6-27,120,30,,126.967421,37.5834852,0,2,,,,,02-2148-2208
2025,1111053000,특정계층이용시설,회원이용시설,사직경로당,서울특별시 종로구 사직로9길 15-25 ,서울특별시 종로구 사직동 262-197,158.5,30,,126.9655864,37.5764535,3,2,,,,,02-2148-2208
2025,1111053000,공공시설,공공청사,사직동주민센터,서울특별시 종로구 경희궁1길 15,서울특별시 종로구 신문로2가 1-122,400,50,폭염특보 시 추가운영,126.9706517,37.571394,0,6,,Y,,,02-2148-2208
2025,1111054000,특정계층이용시설,회원이용시설,삼청경로당,서울특별시 종로구 삼청로5길 30,서울특별시 종로구 팔판동 119,118.8,38,,126.980226,37.583069,3,2,,,,,02-2148-2208
2025,1111054000,특정계층이용시설,회원이용시설,복정경로당,서울특별시 종로구 삼청로4길 22,서울특별시 종로구 삼청동 35-113,200,30,,126.9821249,37.5823969,2,2,,,,,02-2148-2208
